# Aktif filtreler:
# - folder: 56e59dc5-7f29-4e4e-9ed5-0f8101192f76
#,Domain,Domain Type,Citations,Appearance Rate %,Brand Citations,Competitor Citations,Gap Score,Top Prompts
1,trendyol.com,competitor,40,60.7,33,40,225,"Kaliteli pike takımı hangi markadan alınır? (5) | En iyi battaniye markası hangisi? (5) | Çocuk bornozunda güvenli ve kaliteli marka hangisi? (4) | Havlu, bornoz ve nevresimi tek markadan çeyiz olarak almak istesem hangi markalar uygun? (3) | Leke tutmayan masa örtüsü için hangi markalar öne çıkıyor? (3)"
2,hepsiburada.com,competitor,30,53.6,17,30,399,Çeyiz için en iyi markalar hangileri? (5) | Leke tutmayan masa örtüsü için hangi markalar öne çıkıyor? (4) | Banyo halısı ve paspas takımında hangi markalar kaliteli? (3) | Kaliteli pike takımı hangi markadan alınır? (3) | Peştemal ve plaj havlusunda hangi markalar öne çıkıyor? (2)
3,karaca.com,competitor,29,60.7,19,29,161,Yenidoğan uyku seti için hangi markalar öne çıkıyor? (4) | Uzun ömürlü ve dayanıklı havlu için hangi markalar öneriliyor? (3) | Peştemal ve plaj havlusunda hangi markalar öne çıkıyor? (2) | En iyi yerli nevresim takımı markaları hangileri? (2) | Ev tekstili alırken hangi markayı tercih etmeliyim? (2)
4,yatasbedding.com.tr,competitor,28,57.1,22,28,189,En iyi nevresim takımı markası hangisi? (3) | Türkiye'nin en iyi ev tekstili markaları hangileri? (2) | En iyi yerli nevresim takımı markaları hangileri? (2) | Gönül rahatlığıyla tavsiye edebileceğin ev tekstili markaları hangileri? (2) | Ev tekstili alırken hangi markayı tercih etmeliyim? (2)
5,madamecoco.com,competitor,27,50,23,27,120,Ev tekstili alırken hangi markayı tercih etmeliyim? (3) | En iyi havlu markası hangisi? (3) | Banyo halısı ve paspas takımında hangi markalar kaliteli? (2) | En iyi bornoz markası nedir? (2) | Peştemal ve plaj havlusunda hangi markalar öne çıkıyor? (2)
6,eniyilerden.com,corporate,23,28.6,20,23,39,En iyi nevresim takımı markası hangisi? (4) | En iyi bornoz markası nedir? (4) | En iyi yerli nevresim takımı markaları hangileri? (4) | En iyi battaniye markası hangisi? (4) | Çeyiz için en iyi markalar hangileri? (3)
7,neoldu.com.tr,corporate,20,25,16,17,13,Çocuk bornozunda güvenli ve kaliteli marka hangisi? (4) | En iyi kaymaz banyo paspası markası hangisi? (4) | En iyi battaniye markası hangisi? (4) | En iyi bornoz markası nedir? (3) | Banyo halısı ve paspas takımında hangi markalar kaliteli? (2)
8,chakra.com.tr,corporate,18,35.7,14,12,0,Uzun ömürlü ve dayanıklı havlu için hangi markalar öneriliyor? (4) | Çocuk bornozunda güvenli ve kaliteli marka hangisi? (2) | En iyi yerli havlu markası hangisi? (2) | Ev tekstili alırken hangi markayı tercih etmeliyim? (2) | Kaliteli pike takımı hangi markadan alınır? (2)
9,kizlarsoruyor.com,ugc,17,32.1,13,17,53,En iyi havlu markası hangisi? (3) | Türkiye'nin en iyi ev tekstili markaları hangileri? (2) | En iyi yerli havlu markası hangisi? (2) | Çeyiz için en iyi markalar hangileri? (2) | Fiyat/performans açısından en iyi ev tekstili markaları hangileri? (2)
10,karaca-home.com,corporate,17,39.3,16,17,14,Banyo halısı ve paspas takımında hangi markalar kaliteli? (2) | Türkiye'nin en iyi ev tekstili markaları hangileri? (2) | Gönül rahatlığıyla tavsiye edebileceğin ev tekstili markaları hangileri? (2) | En kaliteli yerli ev tekstili markaları hangileri? (2) | Çift kişilik yatak örtüsü için hangi markaları önerirsin? (2)
11,doquhome.com.tr,competitor,16,39.3,11,16,139,"Bebek için nevresim takımında hangi markalar güvenli? (3) | En iyi bornoz markası nedir? (2) | Havlu, bornoz ve nevresimi tek markadan çeyiz olarak almak istesem hangi markalar uygun? (2) | Çift kişilik yatak örtüsü için hangi markaları önerirsin? (2) | En iyi yorgan markası hangisi? (1)"
12,haremlique.com,corporate,15,32.1,13,15,26,En iyi nevresim takımı markası hangisi? (2) | Türkiye'nin en iyi ev tekstili markaları hangileri? (2) | Gönül rahatlığıyla tavsiye edebileceğin ev tekstili markaları hangileri? (2) | En kaliteli yerli ev tekstili markaları hangileri? (2) | Yeni eve taşınırken hangi ev tekstili markalarını önerirsin? (2)
13,eniyimiz.tr,corporate,14,21.4,14,12,0,En iyi yerli havlu markası hangisi? (4) | En iyi havlu markası hangisi? (4) | En iyi yorgan markası hangisi? (2) | Uzun ömürlü ve dayanıklı havlu için hangi markalar öneriliyor? (2) | En iyi nevresim takımı markası hangisi? (1)
14,schafer.com.tr,corporate,13,28.6,10,13,77,Gönül rahatlığıyla tavsiye edebileceğin ev tekstili markaları hangileri? (2) | Çeyiz için en iyi markalar hangileri? (2) | Kaliteli pike takımı hangi markadan alınır? (2) | Yeni eve taşınırken hangi ev tekstili markalarını önerirsin? (2) | Fiyat/performans açısından en iyi ev tekstili markaları hangileri? (2)
15,eniyimarka.com.tr,corporate,13,21.4,6,13,85,Türkiye'nin en iyi ev tekstili markaları hangileri? (3) | En iyi nevresim takımı markası hangisi? (2) | Gönül rahatlığıyla tavsiye edebileceğin ev tekstili markaları hangileri? (2) | Ev tekstili alırken hangi markayı tercih etmeliyim? (2) | Çeyiz için en iyi markalar hangileri? (2)
16,ozdilekevtekstili.com.tr,corporate,13,25,13,13,0,En kaliteli yerli ev tekstili markaları hangileri? (4) | Türkiye'nin en iyi ev tekstili markaları hangileri? (3) | Gönül rahatlığıyla tavsiye edebileceğin ev tekstili markaları hangileri? (2) | En iyi yerli nevresim takımı markaları hangileri? (1) | Ev tekstili alırken hangi markayı tercih etmeliyim? (1)
17,yandex.com.tr,aggregator,13,25,6,13,88,Ev tekstili alırken hangi markayı tercih etmeliyim? (4) | En iyi bornoz markası nedir? (2) | Türkiye'nin en iyi ev tekstili markaları hangileri? (2) | Yeni eve taşınırken hangi ev tekstili markalarını önerirsin? (2) | Çeyiz için en iyi markalar hangileri? (1)
18,tac.com.tr,corporate,13,21.4,8,10,73,Çift kişilik yatak örtüsü için hangi markaları önerirsin? (4) | Kaliteli pike takımı hangi markadan alınır? (3) | En iyi bornoz markası nedir? (2) | En iyi battaniye markası hangisi? (2) | En iyi yerli nevresim takımı markaları hangileri? (1)
19,yigitalisveris.com.tr,corporate,12,28.6,11,12,26,En iyi nevresim takımı markası hangisi? (2) | En iyi bornoz markası nedir? (2) | En iyi yerli nevresim takımı markaları hangileri? (2) | En iyi battaniye markası hangisi? (2) | Yenidoğan uyku seti için hangi markalar öne çıkıyor? (1)
20,irya.com,corporate,12,21.4,12,8,0,Banyo halısı ve paspas takımında hangi markalar kaliteli? (3) | En iyi yerli havlu markası hangisi? (3) | Çocuk bornozunda güvenli ve kaliteli marka hangisi? (2) | En iyi havlu markası hangisi? (2) | En iyi bornoz markası nedir? (1)
21,koctas.com.tr,competitor,11,25,2,11,225,"Leke tutmayan masa örtüsü için hangi markalar öne çıkıyor? (4) | En iyi kaymaz banyo paspası markası hangisi? (2) | Uzun ömürlü ve dayanıklı havlu için hangi markalar öneriliyor? (1) | Havlu, bornoz ve nevresimi tek markadan çeyiz olarak almak istesem hangi markalar uygun? (1) | En kaliteli yerli ev tekstili markaları hangileri? (1)"
22,dekorgetir.com,corporate,11,21.4,9,11,24,En iyi nevresim takımı markası hangisi? (2) | Türkiye'nin en iyi ev tekstili markaları hangileri? (2) | En iyi yerli nevresim takımı markaları hangileri? (2) | En iyi yerli havlu markası hangisi? (2) | En iyi havlu markası hangisi? (2)
23,sikayetvar.com,aggregator,10,7.1,5,10,54,En kaliteli yerli ev tekstili markaları hangileri? (5) | Çeyiz için en iyi markalar hangileri? (5)
24,soley.com.tr,corporate,9,21.4,9,7,0,En iyi bornoz markası nedir? (2) | En iyi yerli havlu markası hangisi? (2) | En iyi havlu markası hangisi? (2) | Banyo halısı ve paspas takımında hangi markalar kaliteli? (1) | En iyi nevresim takımı markası hangisi? (1)
25,akakce.com,aggregator,9,21.4,5,9,49,Çeyiz için en iyi markalar hangileri? (4) | Banyo halısı ve paspas takımında hangi markalar kaliteli? (1) | En iyi nevresim takımı markası hangisi? (1) | Yenidoğan uyku seti için hangi markalar öne çıkıyor? (1) | Çift kişilik yatak örtüsü için hangi markaları önerirsin? (1)
26,penelopebedroom.com,competitor,8,17.9,6,8,24,En iyi yorgan markası hangisi? (2) | Türkiye'nin en iyi ev tekstili markaları hangileri? (2) | Ev tekstilinde yerli markalar mı yoksa ithal/yabancı markalar mı daha kaliteli? (2) | Çift kişilik yatak örtüsü için hangi markaları önerirsin? (1) | Kaliteli pike takımı hangi markadan alınır? (1)
27,sarar.com,corporate,8,14.3,6,6,0,En kaliteli yerli ev tekstili markaları hangileri? (3) | En iyi nevresim takımı markası hangisi? (2) | Peştemal ve plaj havlusunda hangi markalar öne çıkıyor? (2) | Çift kişilik yatak örtüsü için hangi markaları önerirsin? (1)
28,puffy.com.tr,corporate,8,17.9,6,8,24,Gönül rahatlığıyla tavsiye edebileceğin ev tekstili markaları hangileri? (2) | Kaliteli pike takımı hangi markadan alınır? (2) | Fiyat/performans açısından en iyi ev tekstili markaları hangileri? (2) | Ev tekstili alırken hangi markayı tercih etmeliyim? (1) | Yeni eve taşınırken hangi ev tekstili markalarını önerirsin? (1)
29,boyner.com.tr,corporate,8,14.3,0,4,91,Peştemal ve plaj havlusunda hangi markalar öne çıkıyor? (3) | Çift kişilik yatak örtüsü için hangi markaları önerirsin? (3) | Bebek için nevresim takımında hangi markalar güvenli? (1) | Leke tutmayan masa örtüsü için hangi markalar öne çıkıyor? (1)
30,gallerycrystal.com.tr,corporate,8,21.4,6,8,24,Yeni eve taşınırken hangi ev tekstili markalarını önerirsin? (2) | Ev tekstilinde yerli markalar mı yoksa ithal/yabancı markalar mı daha kaliteli? (2) | Türkiye'nin en iyi ev tekstili markaları hangileri? (1) | Gönül rahatlığıyla tavsiye edebileceğin ev tekstili markaları hangileri? (1) | Ev tekstili alırken hangi markayı tercih etmeliyim? (1)
31,marketingturkiye.com.tr,corporate,8,14.3,5,8,34,Yerli çeyiz markaları arasında hangisini önerirsin? (4) | Yeni eve taşınırken hangi ev tekstili markalarını önerirsin? (2) | Çeyiz için en iyi markalar hangileri? (1) | Fiyat/performans açısından en iyi ev tekstili markaları hangileri? (1)
32,bridolog.com,corporate,8,14.3,7,8,11,En iyi yerli nevresim takımı markaları hangileri? (3) | En iyi nevresim takımı markası hangisi? (2) | En iyi yerli havlu markası hangisi? (2) | Çeyiz için en iyi markalar hangileri? (1)
33,icashop.com.tr,corporate,7,10.7,5,6,11,En iyi havlu markası hangisi? (3) | Peştemal ve plaj havlusunda hangi markalar öne çıkıyor? (2) | Uzun ömürlü ve dayanıklı havlu için hangi markalar öneriliyor? (2)
34,englishhome.com,competitor,7,17.9,4,7,35,Peştemal ve plaj havlusunda hangi markalar öne çıkıyor? (2) | En kaliteli yerli ev tekstili markaları hangileri? (2) | Banyo halısı ve paspas takımında hangi markalar kaliteli? (1) | Çift kişilik yatak örtüsü için hangi markaları önerirsin? (1) | Kaliteli pike takımı hangi markadan alınır? (1)
35,hamam.com,corporate,6,14.3,5,5,0,Uzun ömürlü ve dayanıklı havlu için hangi markalar öneriliyor? (3) | En iyi bornoz markası nedir? (1) | En iyi yerli havlu markası hangisi? (1) | Otel kalitesinde havlu ve bornoz üreten Türk markaları hangileri? (1)
36,hipicon.com,corporate,6,14.3,4,2,0,"Havlu, bornoz ve nevresimi tek markadan çeyiz olarak almak istesem hangi markalar uygun? (2) | Yenidoğan uyku seti için hangi markalar öne çıkıyor? (2) | Peştemal ve plaj havlusunda hangi markalar öne çıkıyor? (1) | Bebek için nevresim takımında hangi markalar güvenli? (1)"
