# Aktif filtreler:
# - folder: 698fd5ac-0219-415b-ad42-4a79bd0498ee
#,Domain,Domain Type,Citations,Appearance Rate %,Brand Citations,Competitor Citations,Gap Score,Top Prompts
1,trendyol.com,competitor,90,70.4,13,90,5248,"Kaliteli paslanmaz çelik termosu online nereden alabilirim? (13) | Havlu ve bornoz setini online nereden almalıyım? (11) | Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (8) | Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (8) | Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (8)"
2,hepsiburada.com,competitor,66,63,10,66,2738,"Kaliteli paslanmaz çelik termosu online nereden alabilirim? (15) | Havlu ve bornoz setini online nereden almalıyım? (9) | Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (7) | Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (6) | Okul ve kırtasiye alışverişini online nereden yapabilirim? (6)"
3,play.google.com,corporate,24,29.6,0,22,570,"Türkiye'de online market alışverişi için hangi siteleri önerirsin? (8) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (5) | Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (4) | Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (2) | Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (2)"
4,ikas.com,corporate,19,40.7,0,19,802,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (3) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (2) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (2) | Bir ürünü markanın resmi sitesinden mi yoksa pazaryerinden mi almak daha mantıklı? (2) | Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (2)"
5,n11.com,aggregator,19,37,1,17,658,"İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (3) | Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (3) | Türkiye'de online market alışverişi için hangi siteleri önerirsin? (2) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (2) | Aynı siteden hem giyim/ev tekstili hem market alışverişi yapabileceğim online platform var mı? (2)"
6,apps.apple.com,corporate,19,25.9,0,17,428,Türkiye'de online market alışverişi için hangi siteleri önerirsin? (6) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (4) | Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (4) | Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (2) | Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1)
7,migros.com.tr,corporate,17,18.5,0,12,142,Türkiye'de online market alışverişi için hangi siteleri önerirsin? (6) | Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (6) | Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (2) | Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (2) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1)
8,sikayetvar.com,aggregator,17,25.9,0,17,428,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (9) | Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (2) | Kaliteli paslanmaz çelik termosu online nereden alabilirim? (2) | Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1) | Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (1)
9,boyner.com.tr,corporate,14,22.2,1,13,293,"Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (6) | İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (3) | Orijinal marka çanta ve aksesuarı online nereden alınır? (2) | Havlu ve bornoz setini online nereden almalıyım? (1) | Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
10,akakce.com,aggregator,13,25.9,0,13,491,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (5) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (2) | Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (2) | İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (1) | Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1)
